County,Name,Address,City,State,Zip,Latitude,Longitude
Baltimore City,Northwestern High,6900 Park Heights Avenue,Baltimore,MD,21215,39.364583,-76.704499
Baltimore City,Baltimore Polytechnic Institute,1400 W Cold Spring Ln,Baltimore,MD,21209,39.346925,-76.644238
Baltimore City,Patterson High,100 Kane St,Baltimore,MD,21224,39.292884,-76.537792
Baltimore City,Forest Park High,6900 Park Heights Ave,Baltimore,MD,21215,39.364583,-76.704499
Baltimore City,Western High,4600 Falls Rd,Baltimore,MD,21209,39.347146,-76.643934
Baltimore City,Mergenthaler Vocational-Technical High,3500 Hillen Rd,Baltimore,MD,21218,39.332557,-76.591036
Baltimore City,Achievement Academy @ Harbor City High,2201 Pinewood Avenue,Baltimore,MD,21214,39.36577,-76.570962
Baltimore City,Paul Laurence Dunbar High,1400 Orleans Street,Baltimore,MD,21231,39.295573,-76.598665
Baltimore City,Baltimore School for the Arts,712 Cathedral Street,Baltimore,MD,21201,39.298179,-76.617465
Baltimore City,Digital Harbor High School,1100 Covington St,Baltimore,MD,21230,39.276707,-76.607579
Baltimore City,Reginald F. Lewis High School,6401 Pioneer Drive,Baltimore,MD,21214,39.365553,-76.571197
Baltimore City,Vivien T. Thomas Medical Arts Academy,100 N Calhoun St,Baltimore,MD,21223,39.290235,-76.639995
Baltimore City,Augusta Fells Savage Institute of Visual Arts,1500 Harlem Ave,Baltimore,MD,21217,39.297127,-76.641075
Baltimore City,Coppin Academy,2500 W North Ave,Baltimore,MD,21216,39.308595,-76.65931
Baltimore City,Frederick Douglass High,2301 Gwynns Falls Pky,Baltimore,MD,21217,39.314909,-76.654839
Baltimore City,Carver Vocational-Technical High,2201 Presstman St,Baltimore,MD,21216,39.304401,-76.652635
Baltimore City,Baltimore City College,3220 The Alameda,Baltimore,MD,21218,39.325722,-76.597336
Baltimore City,Eager Street Academy,401 E Eager St,Baltimore,MD,21202,39.300792,-76.608878
Anne Arundel,Chesapeake Science Point,7321 Parkway Drive South,Hanover,MD,21076,39.167995,-76.734697
Baltimore County,Rosedale Center,"7090 Golden Ring Road, Suite 103",Baltimore,MD,21237,39.332997,-76.491369
Baltimore County,Crossroads Center,11640 Crossroads Circle,Baltimore,MD,21220,39.354532,-76.405206
Charles,Robert D. Stethem Educational Center,7775 Marshall Corner Rd,Pomfret,MD,20675,38.570444,-77.028897
Harford,Center for Educational Opportunity,253 Paradise Rd,Aberdeen,MD,21001,39.517562,-76.171766
Howard,Homewood School,10914 Clarksville Pike,Ellicott City,MD,21042,39.236923,-76.890675
Montgomery,Alternative Programs,14501 Avery Road,Rockville,MD,20853,39.095326,-77.122288
Montgomery,Rock Terrace School,390 Martins Ln,Rockville,MD,20850,39.093701,-77.159942
Prince George's,Green Valley Academy at Edgar Allan Poe,2001 Shadyside Avenue,Suitland,MD,20746,38.862887,-76.932995
Prince George's,Chesapeake Math and IT Public Charter,6100 Frost Pl,Laurel,MD,20707,39.090236,-76.902792
Prince George's,College Park Academy,7501 Adelphi Rd,Hyattsville,MD,20783,38.983081,-76.953754
Somerset,Washington Academy and High School,10902 Old Princess Anne Rd,Princess Anne,MD,21853,38.179208,-75.688491
Somerset,Crisfield Academy and High School,210 N Somerset Avenue,Crisfield,MD,21817,37.986737,-75.843173
Talbot,St. Michaels Middle/High School,200 Seymour Ave,St Michaels,MD,21663,38.779748,-76.218178
Washington,Hancock Middle Senior High,289 W Main St,Hancock,MD,21750,39.696771,-78.196804
Wicomico,Mardela Middle & High,24940 Delmar Rd,Mardela Springs,MD,21837,38.46566,-75.747526
Wicomico,James M. Bennett High,300 E College Avenue,Salisbury,MD,21804,38.345897,-75.596237
Baltimore City,Excel Academy @ Francis M. Wood High,1001 W Saratoga St,Baltimore,MD,21223,39.29191,-76.634383
Baltimore City,Claremont School,5301 Erdman Ave,Baltimore,MD,21205,39.302745,-76.554533
Baltimore City,ConneXions: A  Community Based Arts School,2801 Dukeland St,Baltimore,MD,21216,39.318833,-76.664437
Baltimore City,Friendship Academy of Engineering and Technology,2500 E. Northern Parkway,Baltimore,MD,21214,39.366583,-76.560395
Baltimore City,N.A.C.A. Freedom and Democracy Academy II,2500 E. Northern Parkway,Baltimore,MD,21214,39.366583,-76.560395
Baltimore City,K.A.S.A. (Knowledge And Success Academy),2000 Edgewood Street,Baltimore,MD,21216,39.309954,-76.677904
